lable	test1_a
0	实诚孩子（听不懂暗示又很轴）太多了
0	你费劲心思论证女生是不是穿的廉价是什么目的呢
1	老子的意大利炮呢
0	这个有链接么
1	没咋喝过，下次试试
1	我没有黑眼圈就是遗传的眼袋以前以为熬夜有的，后来看了十岁的照片发现也有。
1	老王，这么学！
1	打钱！必须打钱！
1	爱本身就是不匹配的但当我们看见异性的第一眼感觉一身都是价码的时候（不是服装费用）就算再美估计兴致都少一半！因为不存在吸引，只剩谈判了
1	单纯的觉得这种女生经历很丰富
1	厉害不厉害得试了才知道
1	以前坐长途汽车怕晕车就带瓶水溶，不管车程几个小时，一瓶就够够的，一点都不再有晕车的难受感后来坐火车高铁后就没再买过了
0	我也，贼能骂人了
1	并不，出门必被搭讪，且对方质量并不普男
1	水溶兑伏特加再加冰，真的贼好喝没有之一
0	买一瓶和爸妈三人一起每人喝三分之一
1	好想要视频里的图哈哈哈
1	为什么非说人家好掌控，你找男生要微信，就算不好意思要超级大帅哥的，起码也是要清秀干净看着舒服的吧，他要长得跟个窝瓜似的再好掌控你也不会去要啊
1	134这几道题你挺粗心的啊
0	她的故事我心疼她的为人我难忍
1	感觉被你说完，他又要涨价了
1	记住关键词了
1	被搭讪不等于正常那叫骚扰而且一般带有性目的你醒醒啊！！！
1	来看物种多样性
0	不是不好看，是不敢
1	只能说自信问我要联系方式的男士条件还不错
1	你咋天天看这种
0	像我这种看起来温温柔柔的就容易被搭讪，导致不认识我的男人多看我一眼我都想把他们眼珠子抠出来但其实我的性格跟外表天差地别，很是困扰
1	挺好的，记得牢
1	我们本科的时候真的做过实验，就用水溶100，验证了它的维生素含量真的足够
1	这个夏天我口腔溃疡买了三瓶，两天溃疡就痊愈了，然后安利给我妈妈，她一口气买了三箱…
1	我看到这个了我要笑死了
0	干嘛？我的另一半
1	笑死了我们前两天有个病人，来医生办公室问能不能回家，我说原则上不行，他听不懂，拔高声音问了好多遍没带东西不方便啊怎么办你们怎么能这样！
1	笑死了我要和你学骂人
1	巧了，今天喉咙干干的就买了喝完是真的舒服一点了…
1	：还是继续盖上吧我挺仇富的，本来就是想看一下有多好用
0	这种看起来太像别人老婆，一个正经男生不会搭讪别人老婆，至少不应该
1	(*^__^*)
1	对啊怎么可能那么多人有问题啊问题肯定出在答案上啊
1	这答案也错的，以后可不能照着答案抄了
1	力量帝热带水果味，这个也是100还放了称不出量的叶黄素
1	但是有没有人知道在强光照射下会分解
1	我小时候超爱喝现在喝有点甜了
1	这个头发太好看了
1	没有我看见了
1	早就这么教学了
1	哇，真的很浪漫，亲一口
1	其实用高压枪比这玩意好使
1	想要你的表情包
1	我超爱这个柠檬味的
1	我有一次取公积金，要打还款银行的流水，写的我老公名字，银行不给打，说必须是本人，拿结婚证都没有。
1	别自我吹捧了，。经济条件看穿着看不出来，钱存了，钱花了两个概念。大把姑娘，家里一穷二白，月光负债，结婚时候一毛钱没存下，。
1	妈呀好熟悉的语气
1	酸酸甜甜的特别好喝
1	真的好甜，热量蹭蹭的往上涨
0	我儿快七岁了我妈前几天说现在想想生孩子干嘛
1	那男生容易被动物搭讪是怎么回事
1	头脑简单的那是真听不懂话里有话
1	经常被搭讪就是因为好看罢了
1	对，自己爸爸是好老公的早早就结婚了，比如我
1	以我的脑子，估计是听不懂这些了
0	真正的美女，都形单影只，没有什么朋友，也没有人追的。懂得都懂，不懂得细品一下也都懂
1	好好好以后咱在老师的正确答案上改
1	男生发言：这女的给人一种，我就算加上微信，也是对面不情愿才给的，加完了基本也是说一句话等好几个小时。所以别加了
1	水溶100就是坠吊的
1	每次销售们有什么能搞一搞的事情来问我行不行，我能过的都会说：你要问我行不行，那肯定是不行的。隐藏意思就是你别和我说我就当不知道了啊。可惜老有人听不懂
0	我刷到过这种
1	小时候经常喝，但是现在喝一瓶厚会拉
0	我想起120那事了
1	真够瞎掰的，买一大罐子维生素，1000一粒，才合5毛都不到。
1	嗯嗯，但要是老人过世之前没有告知子女密码就很麻烦
1	哪有这么神，之前给我齁的嗓子给我齁破了
1	最后一个关于公交车的，那时候身上没有零钱，司机让我下去
1	好好好，我以后也那么改
1	地震的时候地底传来的声音也很恐惧
1	我笑死了！！姐妹好样的！！！！
1	他怎么做到和搞笑帖子一样标准的破防的
1	但男女真是审美不一样，有点你感觉好看的，他们就感觉还好，戳不到他们的点就不会主动，老多男生审美有点俗气了，自己是个潮男
0	工装口袋，难道有监听的？
1	我觉得这个太好喝了。不是因为能治病，就是觉得好喝，哈哈
1	我真的服了！
1	武汉的雪吹不动
0	干嘛要吹我车
1	我喜欢它的瓶子，喝完用来装我的豆子
1	宝宝你太能怼了对我的乳腺太好了！！！
1	请问图片中是在哪里拍的婚纱照呀？
1	我嘴更贱，他们说我多体谅家里人，家里父母都五十多岁了我连对象都没找到，我说真好啊你们都能活到五十多岁，我都不知道自己有没有这个运气
1	口腔溃疡两天了，我去买一瓶
0	还可以这样啊
0	以后只喝这个了
1	主要是不吃糖，有无糖的可以考虑一下
0	你不就想让别人看你开什么车吗。
1	太会骂了哈哈
1	我昨天刷到过，救命
1	这人不行，通过桃花运来表现自己有魅力拒绝他后他又说什么试探什么不喜欢什么搞笑女这人不行，不像纯爱战士
1	博主是一个很能从平淡生活中发现快乐的人呢
1	主要成分糖和维吧，要加多少糖才能中和这酸涩，达到能喝的程度干嘛不买两块一瓶的维片
1	这样的妹子就是她挑男人了，看她喜欢那种类型了，遇到烂的不要怕，马上甩了再找好的
1	最后一张图…能不能截图给他女朋友
1	掉下去又被合上的人也太惨了
1	但和随后意思没那么紧密不如我看的其他的
1	她不打交道我们看什么，你先保留意见别发言
1	有些自认为年纪大就能教别人做事的人就是闲的催结婚催生孩子的，给他们有一分钱关系吗？咋的啊结婚他给买房子买车啊生孩子她给养啊。
0	同坐标广东，同款桌子
1	怕你比她过的好咯
1	非常支持答案错了我也不可能错
1	这是哪位老师的模拟卷
1	本来记对了现在要记成捆绑了
1	所以说这世界容不下老实人
1	不是亲身经历吗宝贝
1	小时候真的很爱喝，不过一开始还觉得好酸，现在觉得齁甜，但是现在好像没有那么常见
1	教也只教应急措施啊，我们那会儿是说让躲在桌子底下或者卫生间承重墙边，但没有人说过会裂开啊
1	你们都是我的好姐妹，我想让你们都知道正确的学习方法
1	好一个自欺欺人
1	原来是我们学错了
1	哇哦，好新奇的角度，好令人担忧的状态
1	这种女的一般找男朋友也是找全身的那种，一般人不符合这个条件
1	并没有哦，结婚十几年了自己挺幸福的但从不劝人结婚，遇到对的人才结，不然婚姻不是必需品
1	“都是我们身上的，你腿短就行”姐妹吾辈楷模啊！这嘴怎么借我真的是每次怼人都磕巴
1	哇真的，好浪漫，浪漫的想哭的感觉
1	看到第一页就想删，毕竟我的乳腺最重要
1	你不用和他聊这么多呀姐妹骂就完了！
1	下次就学会了刻骨铭心
1	我超爱这个饮料
1	姐妹，你好可爱啊哈哈哈
1	我们这边亲人去世是要回收户口页和身份证的，但是我特别不想把爸爸的身份证交出去，户警看出了我的情绪，立即说“是不是还有很多事没办，身份证先留着，事情办好再送来”。后来就没再送…谢谢好心人！
1	学到了，以后我就说不想给儿子老公还债，不想被家暴
1	我都上高中了连名带姓都改了
1	我们去喝喝看
0	你在哪里，我想去搭讪一下
1	主打一个自信放光芒
1	好极了收藏了
1	这位姐姐好会说话
1	我也是女生缘好，没有男生缘，每次出去玩只有我一个人咋会咋回来
1	吹了自己一身，别问我怎么知道的
1	莫非她真的是天才？
0	终于派上用场了
1	每天想文案不累吗天天搞这些骗我们
1	加水，我一瓶+三四瓶纯净水。可以喝一天
1	我说我怎么错了囊多，原来是老师改错了
1	但是我听不懂的
0	这厂家不给你点宣传费不合适吧不过总于有人说明白了
0	只有我在想這種頭髮真的可以自己每天打理出來嗎我感覺這個只能到美容院做自己很難達成欸
1	他挺自信啊，真的颠，我好喜欢你的回复
1	我靠，这种真的好好看
0	确实不大就是看着比我爸都大
1	姐妹，太飒了
0	吃快餐会选找对象还是算了
1	博主真的好会怼啊
1	我小时候我爸就老爱买给我喝我嫌太酸了不好喝现在看他也太神了吧！
1	只是看起来好随便而已，你别太多内心戏，像你这样的只会想，谁家金主包养的，家犬不上
1	天秤准备替你出征（什么
1	孩子没问题，应该是“红包”干预催产效果会更好吧
1	我科三到路口感觉可以过但是突然变灯了，我一脚刹车踩在线上了，安全员特别小声说慢点开
1	你别说我病毒感冒一个良心医生就给我开了和一盒抗病毒口服液。可见真的有大用
1	妹妹太棒了！
1	这么高冷的美女，不敢问路，哈哈哈～
0	给你机会你不中用呀
1	我爱喝的饮料这么棒吗
1	如果有无糖版，那真的是霸主
1	以前在老家东北坐公交，我们都是往前面递卡，大家都帮着递钱或者递卡，人巨多的时候。
1	因为这种连头发丝都有精心打理过的精致感美女给人一种日常花销很大的感觉，所以能从根源避开一些
1	疫情期间没注意驾驶证行驶证全都过期一年多了我一点不知道然后一次在路口被交警拦下问我车平时谁在开我立马懂了
1	自己主导人生
1	我第一次知道是在鬼吹灯，小战士被地缝夹死了
1	不是我错了是答案打错了
0	很难不笑我天生笑点低
1	次仁央珍来看！
1	经常被搭讪也会被骂好上手啊。
1	答案:你在教我做事？
1	这是神马垃圾
1	慌慌张张点进来的我真是寒心
1	笑死他破防了，这聊天记录能放校园墙就精彩了
1	骗哥们可以别骗了自己
0	好家伙半佛什么时候来小红书了
1	之前我都能笑学单词这次真的怒了
1	那个公交车的，虽然我没遇上这事，但如果遇到，我会一直要支付好，司机没空教，我就会找个年轻人来教我，不付钱不踏实，欠债那种
1	已经很棒了宝
1	乳腺好通畅啊，比吃完南瓜的大便都通畅了，好舒服，好喜欢。
1	姐妹太会骂了，嘴能不能借我！
0	我今天拿吸尘器的背面吹
1	原来掉地上就可以重新再弄，那上次奶茶也是哎，怪不得不用钱免费一杯
1	我觉得东北40的天浪漫不起来，我带你去舔栏杆，是甜的
1	评论区弄错了吧，不管好不好上手，肯定好看才会被搭讪，不然再好上手哪怕你主动贴上去，要你长得像凤姐…她们避都来不及。实际，就是那种看起来单纯又好看的他们觉得最好上手，最好是那种傻白甜叠加白富美
1	喜欢看些清醒美女
1	原来是咱学错了
1	爽爽甜甜又有营养
1	不可能的…正脸漂亮的美女穿什么衣服都有人搭讪
1	就他这种断句方式，让他先回去看看书再和人交流吧
1	今天用了这句话官宣（当我听到这首歌的时候就告诉自己有了对象要用这首歌官宣）
1	超级好掌控啊，所以男生喜欢看上去好掌控的是假的，我朋友那个女生超级有气质，又瘦又高，眼睛是内双看上去挺有气场的，经常被要微信
1	其实一下死掉也还好最怕被病痛折磨而死
0	蜜雪冰城那个好好笑
0	破防经典案例，已经可以想象屏幕那边恼羞成怒手发抖的样子了
1	刚好，还没结婚就刷到了，正好我也挺喜欢听棱镜
1	这个味是我的爱
1	08年汶川地震，我在湖北有震感
1	看图上这样的我感觉不好惹
1	下次就这么干
1	不好意思想问一下房子会转向是什么意思
1	不喜欢糖分太高了，建议出代糖
1	哈？我学到知识了？！！
1	我的天，他完全按模板破防诶
1	好滴谢谢你解答了
1	只知道会裂开，但没想到它还会合上
1	就说是答案错了吧
0	姐妹我觉得你最后的话真的太棒了，他想说自己女朋友更好，但是你也承认了别的女生的好又怼了他，特别棒
1	我曾经在政府窗口部门，办事人来交资料，照片拿大了，我说小一点就行，他问怎么小，我用手比划，小一点，他大声问怎么小，我忍不住，拿剪刀放他面前，小一点。他还大声说，怎么不说清楚。大哥，全是高清摄像头啊
1	挺好的自动删选搭讪干啥又不认识
1	第一次见这么对答案的终究是我局限了
0	所有亲戚都会说是你的错
1	点了，除非他社牛，否则还是得踌躇很久才敢搭讪的
1	公交车那个我这边的司机会让你在下一个站下车的，有一次有个大哥就是没有零钱，手机又弄不好，然后要他下车，我和我朋友就刚好有两块钱，给他付了
0	有时候反应不过来，其实超级正常
1	怪不得，这么几个月，我都弄错，不晓得现在来得及不
1	哇，这是什么卷啊，该怎么跟形容发量不多能烫出这个效果吗
1	确实不会去搭讪，人家光鲜亮丽的，我就一土狗，站在一起都自卑
1	智齿肿了喝一口
1	什么？美白！！！再说一遍！！
1	好浪漫等一场大雪
1	确实是这样之前有一个有朋友给我介绍了一个男生我们打视频电话来着但是我正好是就是那天打扮的听那啥的那个男生说他如果在街上看到我是不会上前搭讪的我说为啥他也说不清楚就是可能就是你说的这个意思
1	跟男朋友复合的时候他对我唱的这首歌，感动哭了
0	换个时间再去一次
0	有人说末世屯可乐，但是可乐用的是糖浆啊，直接屯水溶不好吗？
0	一个红白色的盒子，上面好像有个泡脚桶吧，店铺叫秀康什么，有点记不太清了啊
1	妈的总有一天要去北方看雪
1	真的笑死，打肿脸充胖子这种想法不愧是你
1	你快看！！！！！！
